Order,PID,1st Flr SF,1st Flr SF (box-cox-0),2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Gr Liv Area,Gr Liv Area (box-cox-0),Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Area (box-cox-0.1),Lot Config,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,Screen Porch,Street,TotRms AbvGrd,Total Bath,Total Bsmt SF,Total Porch SF,Total SF,Total SF (box-cox-0.2),Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,SalePrice,SalePrice (box-cox-0)
1,526301100,1656.0,7.412160334945205,0.0,0.0,NA,3,1Fam,Gd,Gd,1,0,TA,441.0,639.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,BrkFace,Plywood,NA,Gd,2,CBlock,1,Typ,528.0,2,TA,Fin,TA,Attchd,1656.0,7.412160334945205,0,GasA,Fa,1Story,1,TA,Lvl,Gtl,31770.0,18.196923203153744,Corner,IR1,0.0,020,RL,112.0,Stone,NA,0.0,5,Names,62.0,5,6,P,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,7,2.0,1080.0,272.0,2736.0,19.34407195093862,AllPub,210.0,1960,1960,2010,215000.0,12.2783933071098
2,526350040,896.0,6.79794041297493,0.0,0.0,NA,2,1Fam,TA,No,0,0,TA,270.0,468.0,144.0,Rec,LwQ,Y,Feedr,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,MnPrv,NA,0,CBlock,1,Typ,730.0,1,TA,Unf,TA,Attchd,896.0,6.79794041297493,0,GasA,TA,1Story,1,TA,Lvl,Gtl,11622.0,15.499289939262031,Inside,Reg,0.0,020,RH,0.0,None,NA,0.0,6,Names,0.0,6,5,Y,0.0,NA,CompShg,Gable,Normal,WD,120.0,Pave,5,1.0,882.0,260.0,1778.0,17.333477717147694,AllPub,140.0,1961,1961,2010,105000.0,11.56171562913966
3,526351010,1329.0,7.192182058713246,0.0,0.0,NA,3,1Fam,TA,No,0,0,TA,406.0,923.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,NA,NA,0,CBlock,1,Typ,312.0,1,TA,Unf,TA,Attchd,1329.0,7.192182058713246,1,GasA,TA,1Story,1,Gd,Lvl,Gtl,14267.0,16.027548602204853,Corner,IR1,0.0,020,RL,108.0,BrkFace,Gar2,12500.0,6,Names,36.0,6,6,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,6,1.5,1329.0,429.0,2658.0,19.203657552822328,AllPub,393.0,1958,1958,2010,172000.0,12.05524975579559
4,526353030,2110.0,7.6544432264701125,0.0,0.0,NA,3,1Fam,TA,No,1,0,TA,1045.0,1065.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,BrkFace,BrkFace,NA,TA,2,CBlock,2,Typ,522.0,2,TA,Fin,TA,Attchd,2110.0,7.6544432264701125,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,11160.0,15.39606438603656,Corner,Reg,0.0,020,RL,0.0,None,NA,0.0,4,Names,0.0,5,7,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,8,3.5,2110.0,0.0,4220.0,21.548041907549273,AllPub,0.0,1968,1968,2010,244000.0,12.404923504275338
5,527105010,928.0,6.833031732786201,701.0,0.0,NA,3,1Fam,TA,No,0,0,Gd,137.0,791.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,MnPrv,TA,1,PConc,2,Typ,482.0,2,TA,Fin,TA,Attchd,1629.0,7.395721608602045,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,13830.0,15.946705229936082,Inside,IR1,0.0,060,RL,0.0,None,NA,0.0,3,Gilbert,34.0,5,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,2.5,928.0,246.0,2557.0,19.016855767797704,AllPub,212.0,1997,1998,2010,189900.0,12.154252896800378
6,527105030,926.0,6.8308742346461795,678.0,0.0,NA,3,1Fam,TA,No,0,0,TA,324.0,602.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,470.0,2,TA,Fin,TA,Attchd,1604.0,7.38025578842646,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9978.0,15.113332686422885,Inside,IR1,0.0,060,RL,20.0,BrkFace,NA,0.0,6,Gilbert,36.0,6,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,2.5,926.0,396.0,2530.0,18.96592018180343,AllPub,360.0,1998,1998,2010,195500.0,12.183315658407558
7,527127150,1338.0,7.198931240688173,0.0,0.0,NA,2,TwnhsE,TA,Mn,1,0,Gd,722.0,616.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,170.0,TA,Gd,CemntBd,CemntBd,NA,NA,0,PConc,2,Typ,582.0,2,TA,Fin,TA,Attchd,1338.0,7.198931240688173,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,4920.0,13.398957590168221,Inside,Reg,0.0,120,RL,0.0,None,NA,0.0,4,StoneBr,0.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,3.0,1338.0,170.0,2676.0,19.236350590841138,AllPub,0.0,2001,2001,2010,213500.0,12.271392111650817
8,527145080,1280.0,7.154615356913663,0.0,0.0,NA,2,TwnhsE,TA,No,0,0,Gd,1017.0,263.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,HdBoard,HdBoard,NA,NA,0,PConc,2,Typ,506.0,2,TA,RFn,TA,Attchd,1280.0,7.154615356913663,0,GasA,Ex,1Story,1,Gd,HLS,Gtl,5005.0,13.439071734847241,Inside,IR1,0.0,120,RL,0.0,None,NA,0.0,1,StoneBr,82.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,144.0,Pave,5,2.0,1280.0,226.0,2560.0,19.022488679628626,AllPub,0.0,1992,1992,2010,191500.0,12.162643087602838
9,527146030,1616.0,7.38770923908104,0.0,0.0,NA,2,TwnhsE,TA,No,1,0,Gd,415.0,1180.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,CemntBd,CemntBd,NA,TA,1,PConc,2,Typ,608.0,2,TA,RFn,TA,Attchd,1616.0,7.38770923908104,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,5389.0,13.612981037799834,Inside,IR1,0.0,120,RL,0.0,None,NA,0.0,3,StoneBr,152.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,3.0,1595.0,389.0,3211.0,20.136109837992898,AllPub,237.0,1995,1996,2010,236500.0,12.373703486914124
10,527162130,1028.0,6.93537044601511,776.0,0.0,NA,3,1Fam,TA,No,0,0,TA,994.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,442.0,2,TA,Fin,TA,Attchd,1804.0,7.4977617006225685,1,GasA,Gd,2Story,1,Gd,Lvl,Gtl,7500.0,14.406534966757283,Inside,Reg,0.0,060,RL,0.0,None,NA,0.0,6,Gilbert,60.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,2.5,994.0,200.0,2798.0,19.453416577490003,AllPub,140.0,1999,1999,2010,189000.0,12.14950229404178
