Order,PID,1st Flr SF,1st Flr SF (box-cox-0),2nd Flr SF,3Ssn Porch,Bedroom AbvGr,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Electrical,Enclosed Porch,Fence,Fireplace Qu,Fireplaces,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Gr Liv Area,Gr Liv Area (box-cox-0),Half Bath,Kitchen AbvGr,Kitchen Qual,Land Slope,Lot Area,Lot Area (box-cox-0.1),Lot Shape,Low Qual Fin SF,Mas Vnr Area,Misc Val,Mo Sold,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Screen Porch,TotRms AbvGrd,Total Bath,Total Bsmt SF,Total Porch SF,Total SF,Total SF (box-cox-0.2),Utilities,Wood Deck SF,abnormal_sale,air_cond,build_type_1Fam,build_type_2Fam,build_type_Twnhs,found_BrkTil,found_CBlock,found_PConc,has 2nd Flr,has Bsmt,has Fireplace,has Garage,has Pool,has Porch,major_street,new_home,nhood_Blmngtn,nhood_Blueste,nhood_BrDale,nhood_BrkSide,nhood_ClearCr,nhood_CollgCr,nhood_Crawfor,nhood_Edwards,nhood_Gilbert,nhood_Greens,nhood_GrnHill,nhood_IDOTRR,nhood_Landmrk,nhood_MeadowV,nhood_Mitchel,nhood_NPkVill,nhood_NWAmes,nhood_Names,nhood_NoRidge,nhood_NridgHt,nhood_OldTown,nhood_SWISU,nhood_Sawyer,nhood_SawyerW,nhood_Somerst,nhood_StoneBr,nhood_Timber,nhood_Veenker,park,partial_sale,railway,recently_built,recently_remodeled,remodeled,years_since_built,years_since_remodeled,SalePrice,SalePrice (box-cox-0)
1,526301100,1656.0,7.412160334945205,0.0,0.0,3,Gd,Gd,1,0,TA,441.0,639.0,0.0,BLQ,Unf,SBrkr,0.0,NA,Gd,2,1,Typ,528.0,2,TA,Fin,TA,1656.0,7.412160334945205,0,1,TA,Gtl,31770.0,18.196923203153744,IR1,0.0,112.0,0.0,5,62.0,5,6,P,0.0,NA,0.0,7,2.0,1080.0,272.0,2736.0,19.34407195093862,AllPub,210.0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,215000.0,12.2783933071098
2,526350040,896.0,6.79794041297493,0.0,0.0,2,TA,No,0,0,TA,270.0,468.0,144.0,Rec,LwQ,SBrkr,0.0,MnPrv,NA,0,1,Typ,730.0,1,TA,Unf,TA,896.0,6.79794041297493,0,1,TA,Gtl,11622.0,15.499289939262031,Reg,0.0,0.0,0.0,6,0.0,6,5,Y,0.0,NA,120.0,5,1.0,882.0,260.0,1778.0,17.333477717147694,AllPub,140.0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,105000.0,11.56171562913966
3,526351010,1329.0,7.192182058713246,0.0,0.0,3,TA,No,0,0,TA,406.0,923.0,0.0,ALQ,Unf,SBrkr,0.0,NA,NA,0,1,Typ,312.0,1,TA,Unf,TA,1329.0,7.192182058713246,1,1,Gd,Gtl,14267.0,16.027548602204853,IR1,0.0,108.0,12500.0,6,36.0,6,6,Y,0.0,NA,0.0,6,1.5,1329.0,429.0,2658.0,19.203657552822328,AllPub,393.0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,172000.0,12.05524975579559
4,526353030,2110.0,7.6544432264701125,0.0,0.0,3,TA,No,1,0,TA,1045.0,1065.0,0.0,ALQ,Unf,SBrkr,0.0,NA,TA,2,2,Typ,522.0,2,TA,Fin,TA,2110.0,7.6544432264701125,1,1,Ex,Gtl,11160.0,15.39606438603656,Reg,0.0,0.0,0.0,4,0.0,5,7,Y,0.0,NA,0.0,8,3.5,2110.0,0.0,4220.0,21.548041907549273,AllPub,0.0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,244000.0,12.404923504275338
5,527105010,928.0,6.833031732786201,701.0,0.0,3,TA,No,0,0,Gd,137.0,791.0,0.0,GLQ,Unf,SBrkr,0.0,MnPrv,TA,1,2,Typ,482.0,2,TA,Fin,TA,1629.0,7.395721608602045,1,1,TA,Gtl,13830.0,15.946705229936082,IR1,0.0,0.0,0.0,3,34.0,5,5,Y,0.0,NA,0.0,6,2.5,928.0,246.0,2557.0,19.016855767797704,AllPub,212.0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,12,189900.0,12.154252896800378
6,527105030,926.0,6.8308742346461795,678.0,0.0,3,TA,No,0,0,TA,324.0,602.0,0.0,GLQ,Unf,SBrkr,0.0,NA,Gd,1,2,Typ,470.0,2,TA,Fin,TA,1604.0,7.38025578842646,1,1,Gd,Gtl,9978.0,15.113332686422885,IR1,0.0,20.0,0.0,6,36.0,6,6,Y,0.0,NA,0.0,7,2.5,926.0,396.0,2530.0,18.96592018180343,AllPub,360.0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,195500.0,12.183315658407558
7,527127150,1338.0,7.198931240688173,0.0,0.0,2,TA,Mn,1,0,Gd,722.0,616.0,0.0,GLQ,Unf,SBrkr,170.0,NA,NA,0,2,Typ,582.0,2,TA,Fin,TA,1338.0,7.198931240688173,0,1,Gd,Gtl,4920.0,13.398957590168221,Reg,0.0,0.0,0.0,4,0.0,5,8,Y,0.0,NA,0.0,6,3.0,1338.0,170.0,2676.0,19.236350590841138,AllPub,0.0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,9,9,213500.0,12.271392111650817
8,527145080,1280.0,7.154615356913663,0.0,0.0,2,TA,No,0,0,Gd,1017.0,263.0,0.0,ALQ,Unf,SBrkr,0.0,NA,NA,0,2,Typ,506.0,2,TA,RFn,TA,1280.0,7.154615356913663,0,1,Gd,Gtl,5005.0,13.439071734847241,IR1,0.0,0.0,0.0,1,82.0,5,8,Y,0.0,NA,144.0,5,2.0,1280.0,226.0,2560.0,19.022488679628626,AllPub,0.0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,18,191500.0,12.162643087602838
9,527146030,1616.0,7.38770923908104,0.0,0.0,2,TA,No,1,0,Gd,415.0,1180.0,0.0,GLQ,Unf,SBrkr,0.0,NA,TA,1,2,Typ,608.0,2,TA,RFn,TA,1616.0,7.38770923908104,0,1,Gd,Gtl,5389.0,13.612981037799834,IR1,0.0,0.0,0.0,3,152.0,5,8,Y,0.0,NA,0.0,5,3.0,1595.0,389.0,3211.0,20.136109837992898,AllPub,237.0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,14,236500.0,12.373703486914124
10,527162130,1028.0,6.93537044601511,776.0,0.0,3,TA,No,0,0,TA,994.0,0.0,0.0,Unf,Unf,SBrkr,0.0,NA,TA,1,2,Typ,442.0,2,TA,Fin,TA,1804.0,7.4977617006225685,1,1,Gd,Gtl,7500.0,14.406534966757283,Reg,0.0,0.0,0.0,6,60.0,5,7,Y,0.0,NA,0.0,7,2.5,994.0,200.0,2798.0,19.453416577490003,AllPub,140.0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,189000.0,12.14950229404178
