Order,PID,1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Mo Sold (box-cox-1.0),Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,Screen Porch,Street,TotRms AbvGrd,TotRms AbvGrd (box-cox-0.0),Total Bath,Total Bath (box-cox-0.5),Total Bsmt SF,Total Porch SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,SalePrice,SalePrice (box-cox-0.0)
1,526301100,1656.0,0.0,0.0,NA,3,1Fam,4,4,1,0,3,441.0,639.0,0.0,4,1,Y,Norm,Norm,4,0.0,2,2,BrkFace,Plywood,0,4,2,CBlock,1,7,528.0,2,3,3,3,Attchd,1656.0,0,GasA,1,1Story,1,2,Lvl,2,31770.0,Corner,2,0.0,020,RL,112.0,Stone,NA,0.0,5,4.0,Names,62.0,4,5,1,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1080.0,272.0,3,210.0,1960,1960,2010,215000.0,12.2783933071098
2,526350040,896.0,0.0,0.0,NA,2,1Fam,3,1,0,0,3,270.0,468.0,144.0,3,2,Y,Feedr,Norm,4,0.0,2,2,VinylSd,VinylSd,3,0,0,CBlock,1,7,730.0,1,3,1,3,Attchd,896.0,0,GasA,2,1Story,1,2,Lvl,2,11622.0,Inside,3,0.0,020,RH,0.0,None,NA,0.0,6,5.0,Names,0.0,5,4,2,0.0,0,CompShg,Gable,Normal,WD,120.0,Pave,5,1.6094379124341003,1.0,0.0,882.0,260.0,3,140.0,1961,1961,2010,105000.0,11.56171562913966
3,526351010,1329.0,0.0,0.0,NA,3,1Fam,3,1,0,0,3,406.0,923.0,0.0,5,1,Y,Norm,Norm,4,0.0,2,2,Wd Sdng,Wd Sdng,0,0,0,CBlock,1,7,312.0,1,3,1,3,Attchd,1329.0,1,GasA,2,1Story,1,3,Lvl,2,14267.0,Corner,2,0.0,020,RL,108.0,BrkFace,Gar2,12500.0,6,5.0,Names,36.0,5,5,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,6,1.791759469228055,1.5,0.4494897427831779,1329.0,429.0,3,393.0,1958,1958,2010,172000.0,12.05524975579559
4,526353030,2110.0,0.0,0.0,NA,3,1Fam,3,1,1,0,3,1045.0,1065.0,0.0,5,1,Y,Norm,Norm,4,0.0,2,3,BrkFace,BrkFace,0,3,2,CBlock,2,7,522.0,2,3,3,3,Attchd,2110.0,1,GasA,4,1Story,1,4,Lvl,2,11160.0,Corner,3,0.0,020,RL,0.0,None,NA,0.0,4,3.0,Names,0.0,4,6,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,2110.0,0.0,3,0.0,1968,1968,2010,244000.0,12.404923504275338
5,527105010,928.0,701.0,0.0,NA,3,1Fam,3,1,0,0,4,137.0,791.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,3,3,1,PConc,2,7,482.0,2,3,3,3,Attchd,1629.0,1,GasA,3,2Story,1,2,Lvl,2,13830.0,Inside,2,0.0,060,RL,0.0,None,NA,0.0,3,2.0,Gilbert,34.0,4,4,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,6,1.791759469228055,2.5,1.1622776601683795,928.0,246.0,3,212.0,1997,1998,2010,189900.0,12.154252896800378
6,527105030,926.0,678.0,0.0,NA,3,1Fam,3,1,0,0,3,324.0,602.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,0,4,1,PConc,2,7,470.0,2,3,3,3,Attchd,1604.0,1,GasA,4,2Story,1,3,Lvl,2,9978.0,Inside,2,0.0,060,RL,20.0,BrkFace,NA,0.0,6,5.0,Gilbert,36.0,5,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,926.0,396.0,3,360.0,1998,1998,2010,195500.0,12.183315658407558
7,527127150,1338.0,0.0,0.0,NA,2,TwnhsE,3,2,1,0,4,722.0,616.0,0.0,6,1,Y,Norm,Norm,4,170.0,2,3,CemntBd,CemntBd,0,0,0,PConc,2,7,582.0,2,3,3,3,Attchd,1338.0,0,GasA,4,1Story,1,3,Lvl,2,4920.0,Inside,3,0.0,120,RL,0.0,None,NA,0.0,4,3.0,StoneBr,0.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,6,1.791759469228055,3.0,1.4641016151377544,1338.0,170.0,3,0.0,2001,2001,2010,213500.0,12.271392111650817
8,527145080,1280.0,0.0,0.0,NA,2,TwnhsE,3,1,0,0,4,1017.0,263.0,0.0,5,1,Y,Norm,Norm,4,0.0,2,3,HdBoard,HdBoard,0,0,0,PConc,2,7,506.0,2,3,2,3,Attchd,1280.0,0,GasA,4,1Story,1,3,HLS,2,5005.0,Inside,2,0.0,120,RL,0.0,None,NA,0.0,1,0.0,StoneBr,82.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,144.0,Pave,5,1.6094379124341003,2.0,0.8284271247461903,1280.0,226.0,3,0.0,1992,1992,2010,191500.0,12.162643087602838
9,527146030,1616.0,0.0,0.0,NA,2,TwnhsE,3,1,1,0,4,415.0,1180.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,CemntBd,CemntBd,0,3,1,PConc,2,7,608.0,2,3,2,3,Attchd,1616.0,0,GasA,4,1Story,1,3,Lvl,2,5389.0,Inside,2,0.0,120,RL,0.0,None,NA,0.0,3,2.0,StoneBr,152.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,5,1.6094379124341003,3.0,1.4641016151377544,1595.0,389.0,3,237.0,1995,1996,2010,236500.0,12.373703486914124
10,527162130,1028.0,776.0,0.0,NA,3,1Fam,3,1,0,0,3,994.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,0,3,1,PConc,2,7,442.0,2,3,3,3,Attchd,1804.0,1,GasA,3,2Story,1,3,Lvl,2,7500.0,Inside,3,0.0,060,RL,0.0,None,NA,0.0,6,5.0,Gilbert,60.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,994.0,200.0,3,140.0,1999,1999,2010,189000.0,12.14950229404178
11,527163010,763.0,892.0,0.0,NA,3,1Fam,3,1,0,0,4,763.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,2,HdBoard,HdBoard,0,3,1,PConc,2,7,440.0,2,3,3,3,Attchd,1655.0,1,GasA,3,2Story,1,2,Lvl,2,10000.0,Corner,2,0.0,060,RL,0.0,None,NA,0.0,4,3.0,Gilbert,84.0,4,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,763.0,241.0,3,157.0,1993,1994,2010,175900.0,12.077670930725649
12,527165230,1187.0,0.0,0.0,NA,3,1Fam,3,1,1,0,4,233.0,935.0,0.0,5,1,Y,Norm,Norm,4,0.0,3,2,HdBoard,HdBoard,4,0,0,PConc,2,7,420.0,2,3,3,3,Attchd,1187.0,0,GasA,4,1Story,1,2,Lvl,2,7980.0,Inside,2,0.0,020,RL,0.0,None,Shed,500.0,3,2.0,Gilbert,21.0,6,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,6,1.791759469228055,3.0,1.4641016151377544,1168.0,504.0,3,483.0,1992,2007,2010,185000.0,12.128111104060462
